date,month_end,month_avg
1993-01-31,24.1132736206,24.1132736206
1993-02-28,24.3705158234,24.3073333941
1993-03-31,24.9163894653,24.8076413196
1993-04-30,24.2788486481,24.4585401444
1993-05-31,24.9336299896,24.6269099236
1993-06-30,25.0235710144,24.8798829859
1993-07-31,24.9020919800,24.8781320481
1993-08-31,25.8565368652,25.3075341311
1993-09-30,25.6683998108,25.6502589271
1993-10-31,26.1747779846,25.9560996464
1993-11-30,25.8953952789,25.9278351920
1993-12-31,26.2133235931,26.1846815456
1994-01-31,27.1275367737,26.6109812600
1994-02-28,26.3363933563,26.5954726370
1994-03-31,25.2328510284,26.2163355454
1994-04-30,25.5157661438,25.3166156568
1994-05-31,25.9224815369,25.5780883062
1994-06-30,25.3284931183,25.8847612034
1994-07-31,26.1472492218,25.7236264229
1994-08-31,27.1440143585,26.5206529369
1994-09-30,26.4584922791,26.7169688089
1994-10-31,27.2106189728,26.6175278255
1994-11-30,26.1271991730,26.5267141433
1994-12-31,26.3174743652,26.2749413990
1995-01-31,27.2019348145,26.8946542286
1995-02-28,28.3120422363,27.9472287831
1995-03-31,29.1004657745,28.6386484892
1995-04-30,29.9624881744,29.5541704077
1995-05-31,31.1512050629,30.5349926515
1995-06-30,31.7813796997,31.4916169427
1995-07-31,32.8036422729,32.5987351418
1995-08-31,32.9496955872,32.7623710632
1995-09-30,34.3459625244,34.0067970276
1995-10-31,34.2450180054,34.2992513830
1995-11-30,35.7682533264,35.1206861223
1995-12-31,36.3310050964,36.3198795319
1996-01-31,37.6235923767,36.3230207617
1996-02-29,37.7435951233,38.4429965973
1996-03-31,38.3934974670,38.4088973999
1996-04-30,38.8108024597,38.4080587115
1996-05-31,39.6918220520,39.3727149963
1996-06-30,40.0419921875,39.8754375458
1996-07-31,38.2426528931,38.4600429535
1996-08-31,38.9791679382,39.6398214860
1996-09-30,41.1570243835,40.4756105423
1996-10-31,42.4876899719,42.1385222725
1996-11-30,45.5894508362,44.2948696136
1996-12-31,44.5045509338,44.7796596345
1997-01-31,47.2542762756,46.1991660378
1997-02-28,47.7062988281,48.1979723479
1997-03-31,45.6013717651,47.8841772079
1997-04-30,48.4561882019,46.2282841422
1997-05-31,51.5189895630,50.5421549479
1997-06-30,53.6365318298,53.2213430859
